index,comment,n_star,date_time,label,sentiment_label,label_id
32,iphone luôn tốt_định thiết_kế không có gì mới nhưng vẫn chưa lỗi_thời mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo_pin nó yếu là do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi tội tài_chính eo_hẹp đang tich_góp để cuối năm rước một e_zìa quê luôn,5,28/05/2017,{BATTERY#Neutral};{DESIGN#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,positive,1
33,đã mua và đag dùng rất thất_vọng camera_mờ hay nổi quảng_cáopin xuống rraats nhanh khuyên mọi người đừng mua,1,22/02/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,negative,0
34,lỗi lưu_ảnh và viền 4 góc sáng khá là bực_mong xiaomi việt_nam sớm có cách khắc_phục,1,19/04/2020,{SCREEN#Negative};{FEATURES#Negative};{SER&ACC#Neutral};,negative,0
35,tôi nghĩ rằng nó được 4 star với 12 tr tầm giá rẻ_rách nếu_như đường truyền không chập_chờn thì nó sẽ được tôi đánh_giá 5 star,4,25/12/2019,{FEATURES#Negative};{PRICE#Positive};,positive,1
36,máy dùng tốt chỉ cài khóa mk vân tay khuôn_mặt rồi mà khi mở lại không cần vuốt là mở được còn lại tốt_bluetooth bình_thường pin lâu_nhạc hay,4,23/01/2020,{FEATURES#Neutral};{BATTERY#Positive};{GENERAL#Positive};,positive,1
37,thế_giới di_động tôi không còn tin_tưởng nữa rồi một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua tại cửa_hàng số 473 đường_kính dương_vương làm tôi quá thất_vọng cảm_giấc như mình bị lừa thất_vọng vô_cùng luôn chắc phải chuyển qua hệ_thống khác thôi,1,4 ngày trước,{SER&ACC#Negative};{OTHERS};,negative,0
38,máy chs game khá mượtpin trâu mọi vấn_đề đều tốt sản_phẩm trong tầm giá này là quá tuyệt_vời,5,19/06/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,positive,1
39,điện_thoại đẹp màn_hình rõ nghe gọi tốt chụp hình cũng đẹp giá tầm này thì quá tốt rồi nhân_viên thế_giới di_động_thoại sơn an_giang thì cực_kỳ dễ_thương luôn,5,25/01/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};,positive,1
40,xài tốt máy mượt chụp ảnh đẹp sạc nhanh mà sao nhiều bạn chê tào_lao quá pin 4 k mà xài 1 ngày vầy là tốt rồi,5,21/12/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,positive,1
41,với s20 ultra mức giá này bằng với oppo find x2 thì nên mua find x2 vì oppo hơn hẳn con ultra về cấu_hình màn_hình pin và tốc_độ sạc ultra chỉ hơn được về chụp ảnh thôi còn oppo find x2 max mượt max phê,4,10/6/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,positive,1
42,máy mới mua về xài được 10 bựa tự_tiện bị đo treo logo 10 p sau mới khỏi ding lại được tính_năng chụp màn_hình nứt nguồn với giảm âm_lượng không chụp được,1,22/01/2020,{FEATURES#Negative};{PERFORMANCE#Negative};,negative,0
43,sau 1 tuần sử_dụng thì mình đánh_giá như sau về camera thì thấy cũng bình_thường camera trước không được tốt lắm cấu_hình không bằng con vsmart 5 tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin 1 lần bạn nào mua vì màn đẹp với camera thì nên mua còn mua để chơi game thì không nên lựa,4,1/4/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};{DESIGN#Positive};,positive,1
44,sản_phẩm không có tai nghe hả bạn mình mua mà bên thế_giới di_động noi_la không có tai nghe có đúng vậy không ạ,1,29/02/2020,{OTHERS};,negative,0
45,sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sử_dụng không xảy ra lỗi nhân_viên nhiệt_tình ms,5,16/09/2019,{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};,positive,1
46,mua lâu rồi vân tay quá kém dí mãi mới mở được chơi game vd liên_quân thì cảm_ứng không nhạy rất kém máy thì rất nóng nên thỉnh_thoảng bị đơ 1 tý không phải do mạng hay fpslúc chơi loa ngoài chơi game khá nhỏ nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì được,1,7/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};,negative,0
47,máy rất okmượtchơi game quá đỉnhcó đều pin hơi tụt nhưng cho là okvừa với túi_tiền tốt,5,17/04/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Negative};,positive,1
48,note10 pin rất kém máy không xài vẫn tuột phần_trăm vừa sạt đầy 100 pin để đó không xài từ ság tới tối về nhìn lại còn 40 vậy 60 pin kia không làm dì mà sao mất nhỉ máy mua dk 1 tuần rồi pin rất kém,1,1/9/2019,{BATTERY#Negative};{OTHERS};,negative,0
49,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sử_dụng rất mờ so với điện_thoại khác bật sử_dụng,5,23/12/2019,{SCREEN#Negative};{PERFORMANCE#Positive};,positive,1
50,máy rất xịn thứ nhất chơi game_mượt với chíp snap thứ hai pin trâu xài cả ngày mà_còn 50 thư ba màn_hình đẹp chụp hình sáng,5,31/01/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,positive,1
51,sản_phẩm tuyệt_vời chắt mua em nó quá vì kém hàng made in china rồi người việt dùng hàng việt,5,2 tuần trước,{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,positive,1
52,mình mới mua hồi chiều minh_vo cài_đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,5,14/08/2020,{OTHERS};,positive,1
53,mọi thứ xài thì khá tốt chỉ có pin tuột nhanh kinh_khủng không xài cũng tuột 100 chực được 5 p là còn 95 ý là không chưa game đó,1,8/2/2020,{BATTERY#Negative};{GENERAL#Positive};,negative,0
54,thấy mọi người đánh_giá nhiều lỗi nhưng đó là do phần_mềm lúc các bạn đó mua máy là phần_mềm chưa cập_nhật mình mua máy được một tháng và dùng rất tốt không một lỗi nào vì xiaomi đã update phần_mềm fix lỗi hết rồi các bạn yên_tâm mua nhé,5,29/07/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,positive,1
55,dùng tạm tạm camera quá kém phần_mềm thì cài các ứng_dụng mặc_định như vinid mua sắmquá nhiều mua điện_thoại để dùng cá_nhân chứ không phải mua điện_thoại để vinmart quảng_cáo giá rẻ không đáng bỏ tiền mua,1,7/1/2020,{CAMERA#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};{SER&ACC#Negative};,negative,0
56,máy mượt_pin trâu nhưng xạc_pin mà nó cứ ấm ấm vậy có nguy_hiểm không ad ngoài_ra thì rất tốt,5,24/03/2020,{BATTERY#Neutral};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,positive,1
57,cho e hỏi máy mua được một năm rồi nhưng dạo gần đây pin hay tụt nhanh lắmgiúp em cách khác_phục với,5,20/07/2020,{BATTERY#Negative};{OTHERS};,positive,1
58,sản_phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max_seettings không gật_giật nào hết,5,21/10/2019,{PERFORMANCE#Positive};{GENERAL#Positive};,positive,1
59,mới mua được 15 ngày xài tạm tốt nhưng pin tụt nhanh máy sạc bị nóngmới mua mà chưa gì máy đã bị nóng còn lại tốt,3,6 ngày trước,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,neutral,2
60,pin sạc 3 tiếng từ 15100 pin trâu camera chụp hình khá đẹp trong điều_kiện sáng tốt có chế_độ chụp cảnh buổi tối khá tốt_cảm biến_vân tay rất nhạy những thao_tác xem phim nghe nhạc lướt_web đều mượt quay_phim chống rung tốt_loa vừa đủ nghe ấm màn_hình hiển thì rất nét mình không biết là do rổ hay gì đây là những đánh_giá sau 2 ngày mình sử_dụng đây là điện_thoại tốt trong tầm giá trên 3 triệu không nên đòi_hỏi nhiều về game hay những thao_tác nặng hơn,5,18/03/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,positive,1
61,tốt máy dùng mượt_pin thì hơi kém tí nói_chung tốt nhân_viên nhiệt_tình_thanks thế_giới di_động,5,2/11/2019,{BATTERY#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,positive,1
62,quá thất_vọng mời mua 2 ngày mà xài cảm_giác quá kém luôn thua cả con j7pro mua năm 2017 pin thì nhanh hết chỉ vào zalo fb thôi xài 1 buổi bình_thường mà hết 50 pin còn bắt sóng wifi 3 g kém chat zalo có nhiều lúc không nhận được tin hoặc lâu mới nhận được còn kiểu_dáng camera tốc_độ thì tốt đề_nghị samsung xem_lại,2,3/1/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Negative};{OTHERS};,negative,0
63,sản_phẩm rất tốt chơi game rất tốt pin trâu mỗi tội ứng_dụng của máy dính quảng_cáo quá nhiều trong phần cài_đặt cũng có quảng_cáo của gg chèn vào,5,28/02/2020,{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};,positive,1
64,sai_lầm khi mua điện_thoại này ghê_ă nghe nhân_viên tư_vấn xoq mua lun về xem_lại cấu_hình mới thấy kém tầm giá này mà màn_hình chỉ mức hd sử_sụng chip rất yếu chơi game thì giật liên_tục,2,29/03/2020,{SCREEN#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};,negative,0
65,mình mới mua chiếc điện 3 gb chiếc màu tím với mức giá như thế_này thì các bạn nên mua một chiếc cho bản_thân chơi game mượt_loa tốt wifi tốt các tác_vụ bình_thường thì tốt,5,27/06/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,positive,1
66,thiết_kế đẹp so với giá_thành thì chất_lượng cực tốt mình đi du_lịch cầm con này theo selfie rất ưng_ý,5,16/12/2019,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};,positive,1
67,sao mình xài được 1 tháng thì bị hư_lỗ cắm tai nghe và khi gọi cho người khác thì màn_hình bị tắt,3,12/6/2020,{FEATURES#Neutral};{DESIGN#Negative};,neutral,2
68,mua máy được 1 tuần đối_với 6 triệu thì máy quá tốt mọi thứ đều hoạt_động mượt_mà đặc_biệt pin trâu xài 2 ngày mới cần sạc_pin lại mình dùng toàn 3 g không dùng wifi ít chơi game chỉ facebook zalo youtube thỉnh_thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà không hết được xứng_đáng số tiền bỏ ra,5,9/4/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{OTHERS};,positive,1
69,điện_thoại khi tin nhắn tới lâu_lâu sẽ nghe nó bị rè_rè âm_thâm tin nhắn như bị đè_nén đi,4,22/06/2020,{FEATURES#Negative};,positive,1
70,ứng_dụng văn_phòng rất kém đặc_biệt ng sử_dunbj email làm_việc như mình còn chơi game với lướt_web thì chấp_nhận được pin khỏe,3,25/05/2020,{BATTERY#Positive};{PERFORMANCE#Negative};,neutral,2
71,khá tốt ngon về mọi thứ màn mượtpin khỏe sạc maxx sướngcảm_giác phê_lòi hơn hẳn ss về mọi mặthehe,5,2 tuần trước,{FEATURES#Positive};{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};,positive,1
72,hên ghê lúc mua em này được giảm 700 k giá ưu_đãi 2 tr990 mua 2 ốp lưng giá 90 kthêm khách_hàng thân_thiết giảm thêm 150 k nữa nên tậu luôn cái tai_phone nói gì nói chứ thấy máy chạy mượt_mà sao nhiều bạn lại chê mình không chơi game nên như_vậy là quá tốt rồi nhân_viên nhiệt_tìnhvui vẻ,5,17/08/2020,{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,positive,1
73,mới mua cách đay mấy ngày thật_sự rất kém load_hình quá chậm và nhảy_màn hinhloa nghe nhạc qua nhỏ,1,3/4/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,negative,0
74,máy dùng tạm được đang dùng quen ip sáng máy này thì không ưng về cảm_ứng và chất_lượng video xem nhiều gây nhức mắt được_cái pin khỏe dùng cả buổi sáng hết 8,3,10/12/2019,{SCREEN#Negative};{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Neutral};,neutral,2
75,đánh_giá sau 1 năm sử_dụng thì chơi game_cực đã vì pin trâusạc nhanhhiệu_năng tốt chụp ảnh ở mức bình_thường đủ dùng để làm_việc chứ không dùng vào việc sống ảo hay chụp chuyên_nghiệp được update phần_mềm thường_xuyên nhược_điểm lớn nhất của phần thiết_kế là camera lồi quá nên bị xước màn_hình siêu_bền với gorillas 3 điều ghét nhất ở máy này đó là wifi hay bị giật_kết đáng mua trong tầm giá này,4,20/06/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Positive};,positive,1
76,máy bỏ_túi hay bị chụp màn_hình loạn_xì ngầu máy mới nhưng loa rất rè có ai bị giống mình không,3,6 ngày trước,{FEATURES#Negative};{OTHERS};,neutral,2
77,đừng có mua nếu ai đó đang dự_định mua sản_phẩm xài 12 tháng có dấu_hiệu đơ máy cảm_ứng lâu_lâu không nhạy nói_chung rất thất_vọng khi mua nói trước kẻo mốt ôm hận,1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{OTHERS};,negative,0
78,sóng sánh kém lắmgiữa đất thị_trấn mà chỉ được 23 vạch wifi vào phòng trong cách khoảng 5 m mà bắt được 3 vạch đã gửi đi hãng thẩm_định pin qua đêm tắt hết ứng_dụngmạng mà sáng dậy tụt 12 chơi liên_quân đôi_khi vẫn bị khựng lại chútđc cái màn nét,2,3/7/2020,{SCREEN#Positive};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};,negative,0
79,mọi thứ đều tốt_trừ đánh_thức cảm_ứng màn_hình khi lên lúc thì không phải xài nút bấm nguồn,3,16/07/2020,{FEATURES#Negative};{GENERAL#Positive};,neutral,2
80,huawei p30 lite sẽ sở_hữu màn_hình 615 inch_độ phân_giải full hd với phần notch kiểu giọt nước_tích hợp chip kirin 710 viên pin dung_lượng 3240 mah hỗ_trợ sạc nhanh 18 w và được trang_bị cụm 3 camera 20 16 2 mp,4,19/03/2019,{SCREEN#Neutral};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Neutral};{DESIGN#Neutral};{SER&ACC#Neutral};,positive,1
81,tốt tất mỗi tội loa hơi nhỏ 1 tí và màn_hình xem phim không mỏi_mắt nhưng hình_ảnh không được mượt cho lắm còn chíp thì antutu được 288 k điểm mạnh hơn hẳn 730 g,4,19/02/2020,{SCREEN#Negative};{FEATURES#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};,positive,1
82,mình cảm_thấy oppo không mượt như quảng_cáo máy mình sử_dụng bị lỗi ứng_dụng sau 15 ngày và phải đổi máy khác chụp hình mặt như bị sưng không đẹp không đáng bỏ ra gần 13 triệu,5,20/06/2020,{PERFORMANCE#Negative};{DESIGN#Negative};{PRICE#Negative};{SER&ACC#Negative};,positive,1
83,tôi rất thích sản_phẩm này với tâm_già 8990 khó có còn nào lại nó vẻ ngoài_hình lẫn chức_năng,5,8/4/2020,{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};,positive,1
84,pin tuột hơi bị nhanh đấy chỉ lướt fb bật tiết_kiệm pin mà có 10 p từ 90 còn 84 cảm_biến vâng tay tạm thôi chụp hình đẹp chỉ không hài_lòng về pin của con này thôi bù lại sạc nhanh nên cũng đỡ,4,3/2/2020,{CAMERA#Positive};{FEATURES#Neutral};{BATTERY#Neutral};,positive,1
85,cảm_nhận của mình khi sử_dụng a70 thật_sự quá tốt mình cũng sợ lỗi này nó khi tham_khảm nhiều ý_kiến nhưng khi mua rồi thật_sự không có gì để chê_trách pin trâu màn đẹp xem phim chơi game rất thích đặc_biệt viền bezel của máy rất mỏng_ae nào còn lăng_tăng hay vẫn tham_khảm thì mình nói thật nên mua mà trải_nghiệm mới biết được máy như_thế_nào đâu phải một máy lỗi là tất_cả đều bị lỗi đâu riêng mình đánh_giá e này rất tốt so với tầm tiền này bỏ ra nhé,5,3/7/2019,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,positive,1
86,máy tốt chỉ có hơi thất_vọng về pin và không có tấm dán màn zin dùng tấm dán film cảm_giác không mượt thái_độ phục_vụ rất tốt cho 4,4,13/06/2020,{BATTERY#Negative};{GENERAL#Positive};{SER&ACC#Neutral};,positive,1
87,máy mới nghe gọi to rõ tốt nhân_viên thế_giới di_động rất nhiệt_tình rất thích máy tuy_nghệ gọi những đây đủ chức_năng nghe nhạc to khá hay,5,10/8/2020,{FEATURES#Positive};{SER&ACC#Positive};,positive,1
88,máy dùng tốt pin trâu nhân_viên tư_vấn nhiệt_tình chất_lượng đúng với giá_thành,4,12/8/2020,{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,positive,1
